"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Search","References in Workspace","⇧⌘G","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Zoom In","⌘=","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"Edit","Rename","⌥⇧R","Editing JSP Source"
"Run/Debug","Step Over","F6","Debugging"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Run/Debug","Run Spring Boot App","⌥⇧X B","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"Run/Debug","Execute","⌘U","In Windows"
"Spy","Plug-in Selection Spy","⌥⇧F1","In Dialogs and Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"File","Close","⌘W","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Search","Spring Beans References Search","⇧⌘G","Editing in Structured Text Editors"
"Edit","Select Enclosing Element","⌃⇧↑","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Run/Debug","Debug AspectJ/Java Application","⌥⇧D C","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
